1.000328259067921000e+00,9.977641413851819907e-01,9.970022195447388880e-01,9.978183754678345840e-01,9.981691990025045591e-01,9.987854924871744089e-01,9.990268727741667965e-01,9.988180380375762946e-01,9.990351599415318029e-01,9.991244113719123243e-01
1.000226976427025738e+00,9.979195880938336316e-01,9.971561175902582397e-01,9.979977413949665532e-01,9.984357539004949933e-01,9.987190902834482964e-01,9.987337174275611185e-01,9.989915632059339634e-01,9.991604533745798156e-01,9.992938213918356460e-01
9.998063831657971745e-01,9.978517051740616317e-01,9.968806159476653050e-01,9.973731919428298065e-01,9.981285508815692653e-01,9.987447856841670246e-01,9.986494437124949775e-01,9.990348907544825963e-01,9.990120045574119034e-01,9.989896719726120145e-01
1.000262655135204737e+00,9.978118909796979130e-01,9.972691178673080969e-01,9.977895847949316277e-01,9.982397990480085248e-01,9.986726392155005350e-01,9.985216846065808616e-01,9.987754275560071227e-01,9.988335138550485937e-01,9.989667753910455028e-01
1.000084283280980424e+00,9.978882132949618011e-01,9.969894273365400572e-01,9.978159092456548862e-01,9.986250908695778472e-01,9.985840703358586090e-01,9.989736535531398287e-01,9.990752224186234542e-01,9.991770388880011344e-01,9.990923596931948758e-01
1.000022453795915700e+00,9.977763766218731289e-01,9.970326488796400488e-01,9.978039822410252890e-01,9.982919846501664418e-01,9.985519277530047200e-01,9.989219380873618492e-01,9.986280306141316343e-01,9.991459443174162125e-01,9.985565876320653400e-01
9.999396707282498520e-01,9.975957088071062406e-01,9.974048572981510929e-01,9.975238563020688565e-01,9.982190588239411300e-01,9.986696176653245827e-01,9.991248267675962857e-01,9.989232987709479872e-01,9.991204096416703706e-01,9.990738681164014201e-01
9.999003477910393123e-01,9.979983694248230064e-01,9.973316143128773126e-01,9.977679424970840039e-01,9.984648968479992170e-01,9.985865411285513860e-01,9.992257260496865134e-01,9.990066958010938025e-01,9.989588422084908492e-01,9.993410367175670217e-01
1.000072880548052545e+00,9.974856954254254227e-01,9.969456267333270949e-01,9.976090571923680317e-01,9.984330259218245907e-01,9.985265057538658118e-01,9.985508643958928010e-01,9.989355802906612070e-01,9.990963059247249811e-01,9.993299000983867364e-01
9.998453763014808482e-01,9.977096546191241977e-01,9.973928029019419883e-01,9.980314218533550275e-01,9.982902850578838638e-01,9.989847593216034660e-01,9.991029586603860091e-01,9.988642364501251203e-01,9.992875877876267188e-01,9.990933044721067580e-01
